                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.80868,                 1.9254,                  1.597,                0.96877,                      1,                  0.995,                  0.995,                0.27413,                 1.3041,                0.80291,             0.00059666,             0.00059666,             0.00059666
                     85,                0.81444,                 1.8248,                 1.5601,                      1,                      1,                  0.995,                 0.8955,                 0.4356,                 1.1625,                0.79837,             0.00059525,             0.00059525,             0.00059525
                     86,                0.79712,                  1.921,                 1.5712,                0.97416,                      1,                  0.995,                  0.995,                0.32566,                 1.0587,                0.75707,             0.00059383,             0.00059383,             0.00059383
                     87,                0.84926,                  2.036,                 1.5972,                0.97427,                      1,                  0.995,                  0.995,                 0.2833,                0.82923,                 0.7694,             0.00059242,             0.00059242,             0.00059242
                     88,                0.81361,                 1.8562,                 1.5284,                0.97413,                      1,                  0.995,                  0.995,                0.37473,                  1.124,                0.80461,             0.00059101,             0.00059101,             0.00059101
                     89,                0.75138,                 1.8134,                 1.4923,                0.97249,                      1,                  0.995,                  0.995,                0.35646,                0.98978,                0.80318,             0.00058959,             0.00058959,             0.00058959
                     90,                0.77055,                 1.8334,                 1.5277,                 0.9668,                      1,                  0.995,                  0.995,                 0.3264,                 1.0413,                0.80447,             0.00058818,             0.00058818,             0.00058818
                     91,                0.81487,                 1.8617,                 1.6103,                0.96164,                      1,                  0.995,                  0.995,                0.32113,                 1.0598,                0.87561,             0.00058677,             0.00058677,             0.00058677
                     92,                 0.7706,                 1.8413,                 1.5538,                0.96506,                      1,                  0.995,                  0.995,                0.30697,                 1.0049,                 0.8586,             0.00058535,             0.00058535,             0.00058535
                     93,                0.72783,                 1.7878,                 1.5001,                0.96841,                      1,                  0.995,                  0.995,                0.33739,                 1.0762,                0.84162,             0.00058394,             0.00058394,             0.00058394
                     94,                0.77575,                 1.7821,                 1.5277,                0.97175,                      1,                  0.995,                  0.995,                0.35408,                0.94926,                 0.8445,             0.00058252,             0.00058252,             0.00058252
                     95,                0.72792,                 1.7785,                 1.5088,                0.96537,                      1,                  0.995,                  0.995,                0.30226,                0.96328,                0.78151,             0.00058111,             0.00058111,             0.00058111
